process.b1.capacity,process.b2.capacity,property.price,property.product,property.winner,verification.result
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.2,0.0,0
0.0,0.0,0.0,0.6000000000000001,0.0,0
0.0,0.0,0.0,1.0000000000000002,0.0,0
0.0,0.0,0.032258064516129226,0.0,0.0,1
0.0,0.0,0.032258064516129226,0.0,0.75,1
0.0,0.0,0.032258064516129226,0.0,1.0,0
0.0,0.0,0.032258064516129226,0.2,0.0,1
0.0,0.0,0.032258064516129226,0.2,0.75,1
0.0,0.0,0.032258064516129226,0.2,1.0,0
0.0,0.0,0.032258064516129226,0.6000000000000001,0.0,1
0.0,0.0,0.032258064516129226,0.6000000000000001,0.75,1
0.0,0.0,0.032258064516129226,0.6000000000000001,1.0,0
0.0,0.0,0.032258064516129226,1.0000000000000002,0.0,1
0.0,0.0,0.032258064516129226,1.0000000000000002,0.75,1
0.0,0.0,0.032258064516129226,1.0000000000000002,1.0,1
0.0,0.0,0.32258064516129026,0.4000000000000001,0.0,0
0.0,0.0,0.32258064516129026,0.8,0.0,0
0.0,0.0,0.35483870967741926,0.4000000000000001,0.0,1
0.0,0.0,0.35483870967741926,0.4000000000000001,0.75,1
0.0,0.0,0.35483870967741926,0.4000000000000001,1.0,1
0.0,0.0,0.35483870967741926,0.8,0.0,1
0.0,0.0,0.35483870967741926,0.8,0.75,0
0.0,0.0,0.35483870967741926,0.8,1.0,1
0.0,0.3333333333333333,0.0,0.0,0.0,0
0.0,0.3333333333333333,0.0,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.0,1.0000000000000002,0.0,0
0.0,0.3333333333333333,0.032258064516129226,0.0,0.0,0
0.0,0.3333333333333333,0.032258064516129226,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.032258064516129226,1.0000000000000002,0.0,1
0.0,0.3333333333333333,0.032258064516129226,1.0000000000000002,0.5,1
0.0,0.3333333333333333,0.032258064516129226,1.0000000000000002,0.75,0
0.0,0.3333333333333333,0.032258064516129226,1.0000000000000002,1.0,0
0.0,0.3333333333333333,0.06451612903225823,0.0,0.0,0
0.0,0.3333333333333333,0.06451612903225823,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.09677419354838723,0.0,0.0,0
0.0,0.3333333333333333,0.09677419354838723,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.12903225806451624,0.0,0.0,0
0.0,0.3333333333333333,0.12903225806451624,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.16129032258064524,0.0,0.0,0
0.0,0.3333333333333333,0.16129032258064524,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.19354838709677424,0.0,0.0,0
0.0,0.3333333333333333,0.19354838709677424,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.22580645161290325,0.0,0.0,0
0.0,0.3333333333333333,0.22580645161290325,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.25806451612903225,0.0,0.0,0
0.0,0.3333333333333333,0.25806451612903225,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.29032258064516125,0.0,0.0,0
0.0,0.3333333333333333,0.29032258064516125,0.6000000000000001,0.0,0
0.0,0.3333333333333333,0.32258064516129026,0.0,0.0,0
0.0,0.3333333333333333,0.32258064516129026,0.4000000000000001,0.0,0
0.0,0.3333333333333333,0.32258064516129026,0.6000000000000001,0.0,0
